infores	component	team	x-maturity	url	pass
infores:cohd	KP	['Clinical Data Provider']	https://cohd.io/api	production	False
infores:cohd	KP	['Clinical Data Provider']	https://dev.cohd.io/api	development	True
infores:service-provider-trapi	KP	['Service Provider']	https://bte.transltr.io/v1/team/Service%20Provider	production	False
infores:service-provider-trapi	KP	['Service Provider']	https://api.bte.ncats.io/v1/team/Service%20Provider	development	True
infores:service-provider-trapi	KP	['Service Provider']	https://dev.api.bte.ncats.io/v1/team/Service%20Provider	development	True
infores:service-provider-trapi	KP	['Service Provider']	https://bte.ci.transltr.io/v1/team/Service%20Provider	staging	False
infores:service-provider-trapi	KP	['Service Provider']	https://bte.test.transltr.io/v1/team/Service%20Provider	testing	False
infores:automat-gtopdb	KP	['Ranking Agent']	https://automat.renci.org/gtopdb/1.2	production	False
infores:automat-hmdb	KP	['Ranking Agent']	https://automat.renci.org/hmdb/1.2	production	False
infores:spoke	KP	['imProving Agent']	https://spokekp.healthdatascience.cloud/api/v1.2/	production	False
infores:automat-drug-central	KP	['Ranking Agent']	https://automat.renci.org/drugcentral/1.2	production	False
infores:automat-gtex	KP	['Ranking Agent']	https://automat.renci.org/gtex/1.2	production	False
infores:automat-intact	KP	['Ranking Agent']	https://automat.renci.org/intact/1.2	production	False
infores:automat-foodb	KP	['Ranking Agent']	https://automat.renci.org/foodb/1.2	production	False
infores:automat-ctd	KP	['Ranking Agent']	https://automat.renci.org/ctd/1.2	production	False
infores:automat-hetio	KP	['Ranking Agent']	https://automat.renci.org/hetio/1.2	production	False
infores:improving-agent	ARA	['imProving Agent']	https://ia.healthdatascience.cloud/api/v1.2/	production	False
infores:automat-hgnc	KP	['Ranking Agent']	https://automat.renci.org/hgnc/1.2	production	False
infores:automat-pharos	KP	['Ranking Agent']	https://automat.renci.org/pharos/1.2	production	False
infores:automat-panther	KP	['Ranking Agent']	https://automat.renci.org/panther/1.2	production	False
infores:automat-uberongraph	KP	['Ranking Agent']	https://automat.renci.org/uberongraph/1.2	production	False
infores:automat-biolink	KP	['Ranking Agent']	https://automat.renci.org/biolink/1.2	production	False
infores:automat-cord19	KP	['Ranking Agent']	https://automat.renci.org/cord19/1.2	production	False
infores:molepro	KP	['Molecular Data Provider']	https://molepro-trapi.transltr.io/molepro/trapi/v1.2	production	False
infores:molepro	KP	['Molecular Data Provider']	https://molepro-trapi.test.transltr.io/molepro/trapi/v1.2	test	False
infores:molepro	KP	['Molecular Data Provider']	https://molepro-trapi.ci.transltr.io/molepro/trapi/v1.2	development	True
infores:molepro	KP	['Molecular Data Provider']	https://translator.broadinstitute.org/molepro/trapi/v1.2	???	False
infores:automat-ontology-hierarchy	KP	['Ranking Agent']	https://automat.renci.org/ontological-hierarchy/1.2	production	False
infores:monarchinitiative	KP	['Standards Reference Implementation Team']	https://trapi.monarchinitiative.org/1.2	production	False
